state_abbr,c1,c2,c3,c4,c5,c6,c7
AL,0.02032462748516473,0.036249477206399906,0.04685024173214089,0.01868016127587922,0.3582574624098379,0.04763840589334004,0.4719996239972373
FL,0.023103889465432726,0.015419262313992401,0.06117691980053745,0.025308288515918858,0.308908399348814,0.2165083902341858,0.3495748503211188
GA,0.01927437303685544,0.04148056448209703,0.0749969890898032,0.04242226782494896,0.36767696007026596,0.09072971317251449,0.36341913232351497
