type_i,type_j,sci,covariance,diagonal
0,0,2679421.75,0.004900000000000001,True
0,1,12877.318359375,0.0017597525024566824,False
0,2,9606.099609375,0.0016363510143594527,False
0,3,1741.825927734375,0.0022034225196587405,False
0,4,2795.536865234375,0.0029761556515192104,False
0,5,3072.403564453125,0.0017306102261162163,False
0,6,1623.2269287109375,0.002986961191557465,False
0,7,1186.0025634765625,0.0006810026184233384,False
0,8,4377.7158203125,0.0017075877202523911,False
0,9,3989.298583984375,0.0021144355515083976,False
0,10,32176.380859375,0.002646378400975484,False
0,11,1574.1966552734375,0.0014105886623616017,False
0,12,1350.855224609375,0.0013842450049909355,False
0,13,2072.163818359375,0.0015991789840983095,False
0,14,14316.3427734375,0.0008683273428893634,False
0,15,2790.296875,0.002646386292914771,False
0,16,2892.302734375,0.00297264429114902,False
0,17,1697.948974609375,0.0022389074826255043,False
0,18,1628.7144775390625,0.0008987767885747685,False
0,19,4859.390625,0.0011261022109118272,False
0,20,6713.181640625,0.00206983039496902,False
0,21,2431.4677734375,0.002918796193432026,False
0,22,6370.736328125,0.0015414897154183628,False
0,23,164180.71875,0.002583865734368138,False
0,24,2441.884521484375,0.001886476089335274,False
0,25,5310.5498046875,0.00013003589965698657,False
0,26,2710.7939453125,0.0018490856694988035,False
0,27,2482.701416015625,0.0011137764466165275,False
0,28,9939.55859375,0.001486276646037182,False
0,29,6091.3916015625,0.0014708331332555194,False
0,30,4476.92919921875,0.001568196809780087,False
0,31,1268.4744873046875,0.0005703994978141297,False
0,32,1778.3179931640625,0.0007522021179546273,False
0,33,8595.322265625,0.0014431282269739775,False
0,34,4930.13623046875,0.0015615138886735697,False
0,35,5228.470703125,0.001393932942174339,False
0,36,1482.661376953125,0.00125102809239205,False
0,37,3045.512451171875,0.0022126842253927833,False
0,38,2968.887939453125,0.0021968082487554357,False
0,39,1667.296142578125,0.001404883162458635,False
0,40,2219.250732421875,0.0023598025714243707,False
0,41,2422.3623046875,0.00128627084675808,False
0,42,2054.1650390625,0.0010528931167229864,False
0,43,2906.234375,0.001832440054139897,False
0,44,30138.333984375,0.0026496909510630583,False
0,45,12932.982421875,0.0024431523549999145,False
0,46,2643.079345703125,0.002250373452760418,False
0,47,4757.97119140625,0.0015343630975045487,False
0,48,71024.9296875,0.001409690422596752,False
0,49,245035.09375,0.0006721065629955961,False
0,50,1941.0999755859375,0.0011428366941760631,False
0,51,8172.44677734375,0.0002619086641967035,False
0,52,1315.929443359375,0.00047562515749290183,False
0,53,5470.75732421875,0.0019858689285395395,False
0,54,1559.3140869140625,0.0009533092784678434,False
0,55,1951.0771484375,0.002932929536835699,False
0,56,9364.5478515625,0.0014930193411832108,False
0,57,4026.90478515625,0.001456450539053211,False
0,58,30552.986328125,0.0013446409814828859,False
0,59,1740.4537353515625,0.001394058935436811,False
0,60,2348.5029296875,0.0012417174360733869,False
0,61,2673.069091796875,0.0003780529294945102,False
0,62,0.0,0.00012110000093896229,False
0,63,3921.533447265625,0.00013411873531010604,False
0,64,9466.6376953125,0.0014985506571260265,False
0,65,4266.61865234375,0.001435735296510236,False
0,66,8702.078125,0.0021444214806242033,False
0,67,1776.1800537109375,0.0011643723544391786,False
0,68,439588.6875,0.0030699108820564118,False
0,69,2361.13330078125,0.0017950040265105826,False
0,70,5272.04296875,0.001685081820373977,False
0,71,2373.909423828125,0.002251723339511099,False
0,72,16250.10546875,0.0030321390117927917,False
0,73,0.0,0.00028220727227751616,False
0,74,9169.6435546875,0.0006407976052505107,False
0,75,1314.1141357421875,0.0014672913233343158,False
0,76,1633.7418212890625,0.0020992854515052618,False
0,77,3692.036865234375,0.002925817684649165,False
0,78,1075.175048828125,0.0010389314849379096,False
0,79,2156.85400390625,0.0016637390304757968,False
0,80,5821.13330078125,0.0020984346305378174,False
0,81,1216.7984619140625,0.0013611223140563857,False
0,82,4063.51220703125,0.0017961141350937165,False
0,83,3475.520263671875,0.002055160042913091,False
0,84,9385.1142578125,0.0014933816625352016,False
0,85,23151.568359375,0.0015931646385661587,False
0,86,4134.27392578125,0.0018346346483590688,False
0,87,2994.805908203125,0.0011115732699536142,False
0,88,1201.325927734375,0.0016058768603635558,False
0,89,4600.70703125,0.0017817326192994373,False
